runtime,1 card in a Pack,6 cards in a Pack
207,2187,2598
208,2639,3372
209,3188,2904
210,2974,3234
211,2848,1956
212,2792,2484
213,2833,3330
214,2786,3240
215,2460,2916
216,3438,2016
217,2505,2250
218,3121,1830
219,3162,3690
220,3275,2556
221,2038,2082
222,3546,2814
223,2973,2418
224,3004,3210
225,3301,2304
226,2298,1734
227,2663,2448
228,2869,2346
229,2139,2550
230,2905,2742
231,2733,2202
232,2051,2538
233,2928,2436
234,3256,2826
235,2808,2880
236,2288,2802
237,3535,2988
238,2120,2508
239,2677,2436
240,1772,3102
241,2168,1950
242,2576,3552
243,3200,2586
244,2375,3078
245,3050,2184
246,3854,2682
247,2273,2376
248,1766,2964
249,3211,2904
250,2380,2520
251,1899,2220
252,2029,2592
253,2737,2574
254,3103,2010
255,2155,2166
256,2031,2022
257,3159,2526
258,2745,2484
259,3296,2130
260,2532,2070
261,1909,2364
262,2141,2628
263,3249,2370
264,2519,2466
265,2551,2304
266,2690,2838
267,2971,2532
268,3970,2598
269,2219,2604
270,2869,2610
271,2679,2532
272,2150,3180
273,2286,2472
274,2550,2838
275,2411,2322
276,2725,2346
277,2544,2544
278,2773,2286
279,2239,2718
280,3724,2502
281,2307,3096
282,2745,2736
283,2822,2538
284,3082,1872
285,2954,2904
286,2874,2484
287,3510,2424
288,2392,2874
289,2143,3276
290,2745,2766
291,2289,2808
292,2591,1800
293,2404,2676
294,2061,2352
295,2232,2514
296,2505,2646
297,2901,3354
298,2367,3354
299,2419,2724
300,3376,2046
301,2154,2124
302,2664,4380
303,2320,2304
304,2369,3126
305,2426,3882
306,2863,2052
307,2028,2796
308,3484,2136
309,2505,4104
310,2938,3396
311,2204,2424
312,2306,2490
313,1939,3324
314,1987,2838
315,2383,1830
316,2508,3072
317,2491,2106
318,2004,2064
319,2352,3366
320,2441,2388
321,2408,2136
322,2911,3390
323,3184,3300
324,3142,2844
325,2838,2310
326,2799,3342
327,2507,2532
328,1697,2646
329,2458,2202
330,2450,1932
331,2320,2262
332,2332,1914
333,2677,3048
334,3009,2058
335,2494,2652
336,2356,3648
337,3021,2934
338,3179,3174
339,3140,2442
340,2471,2580
341,3964,2250
342,2631,2556
343,2700,2358
344,3002,2316
345,2475,2406
346,2921,2340
347,2646,2574
348,2634,3906
349,3220,2430
350,3433,2460
351,2932,2736
352,2754,2772
353,2372,3054
354,1782,2904
355,2794,2784
356,2567,2436
357,3260,2664
358,2490,2952
359,2003,2676
360,2523,2184
361,2444,2430
362,3490,2232
363,2480,2964
364,3980,1896
365,2366,2394
366,2571,2478
367,2572,2058
368,2951,2700
369,4067,1926
370,2297,2370
371,2210,2484
372,2561,2178
373,3176,2286
374,2438,2340
375,3479,2562
376,3275,2844
377,2276,2190
378,2043,2886
379,2082,2700
380,2781,1938
381,2697,2802
382,2111,2556
383,3168,2322
384,2359,2688
385,2869,3054
386,2614,2196
387,2516,3894
388,2259,2136
389,2999,2760
390,2662,2412
391,2367,3180
392,2544,1890
393,3335,2922
394,2804,2334
395,3089,2256
396,2180,2994
397,2574,2346
398,2315,3138
399,2027,2664
400,1931,2244
401,2541,1740
402,2395,3906
403,2363,1956
404,2651,2838
405,2479,2814
406,2714,2502
407,3606,3618
408,2682,2898
409,2944,2250
410,2207,2478
411,3884,3780
412,2732,3060
413,2645,2130
414,4146,2526
415,2162,3924
416,2732,4362
417,2442,2766
418,3592,1746
419,2193,2808
420,2925,2634
421,2501,1992
422,2466,3132
423,2505,2130
424,2338,2208
425,2232,3030
426,3543,3090
427,2614,2682
428,2224,2412
429,2371,2358
430,2223,2574
431,3933,1980
432,2508,2724
433,2473,2772
434,2416,2466
435,3190,3246
436,2635,2412
437,3919,2340
438,3166,2028
439,2530,3018
440,2303,2208
441,2973,2130
442,3588,2976
443,2702,2454
444,1761,2058
445,2320,3372
446,2523,3438
447,2034,2844
448,2687,2928
449,2690,2016
450,2955,2940
451,2239,2400
452,2504,3030
453,2454,3252
454,2535,4122
455,2462,3000
456,2826,3066
457,2952,3618
458,2253,2658
459,4025,2430
460,2241,2616
461,2439,2478
462,2193,2190
463,3046,2736
464,2282,1938
465,2342,2790
466,2213,2010
467,2080,2418
468,2946,2760
469,2384,2556
470,2759,2706
471,2488,2970
472,2741,2718
473,2283,2286
474,1851,2772
475,2700,3444
476,2616,3432
477,2937,3078
478,2616,2514
479,1955,2088
480,3869,3756
481,2800,3096
482,2066,2466
483,2384,2136
484,2847,2280
485,3409,3672
486,2145,1926
487,2370,2424
488,2229,2508
489,2975,3312
490,2599,2712
491,2356,3186
492,3569,2382
493,2249,2058
494,2729,1968
495,4014,4080
496,3465,2010
497,3162,2928
498,2380,2262
499,2414,3708
500,2347,2748
501,2721,2448
502,2762,2442
503,2639,1836
504,2288,3048
505,2215,3702
506,2886,2358
507,2297,4110
508,2180,2442
509,2178,3864
510,2486,2988
511,2945,3126
512,2636,2400
513,3427,2538
514,2249,3126
515,2109,2382
516,1998,1992
517,2509,2736
518,2056,2166
519,2136,2904
520,2905,2160
521,2224,2220
522,3199,3180
523,3071,2922
524,2111,2322
525,2093,2106
526,2505,2328
527,2746,3120
528,3719,2292
529,3810,3594
530,3310,2580
531,2668,2430
532,2689,2286
533,2351,2376
534,2523,2472
535,2446,2424
536,2785,2340
537,2887,2436
538,2120,1896
539,1903,3690
540,2720,2016
541,2491,2640
542,1879,2340
543,2599,2238
544,3495,2766
545,2647,1860
546,2157,2418
547,2416,3300
548,2059,2190
549,2598,2358
550,2298,3750
551,2076,2094
552,2907,2538
553,2425,2586
554,1767,2760
555,2662,2682
556,1992,2586
557,4658,2484
558,2308,4482
559,2589,1728
560,2772,2640
561,2877,3030
562,1898,2052
563,2379,3240
564,2649,2652
565,1993,2502
566,3135,2226
567,2581,2946
568,2367,2112
569,2909,3228
570,2644,2256
571,3133,2508
572,2674,2688
573,1699,2832
574,2493,2382
575,2325,2598
576,2367,2430
577,3513,1956
578,2167,2574
579,2698,2412
580,2650,3324
581,2448,1968
582,2901,2058
583,2126,3090
584,2589,2508
585,2766,2730
586,2432,2826
587,2985,2520
588,2108,2172
589,3496,2436
590,2774,2868
591,2870,2814
592,3002,2682
593,2432,3270
594,2808,2430
595,1932,1842
596,2142,2526
597,2321,3006
598,3192,2274
599,1870,2880
600,2400,2292
601,3008,2724
602,2554,2988
603,2713,3282
604,3109,2910
605,3033,2820
606,2963,2766
607,2097,2406
608,3706,3132
609,2567,2160
610,2077,2430
611,2067,1932
612,2201,2838
613,1889,2424
614,1992,2016
615,2460,2406
616,3783,2922
617,2473,1926
618,2418,2400
619,1849,2442
620,2073,2820
621,2955,2406
622,1768,1968
623,2804,2328
624,3515,1890
625,2021,3426
626,2365,2472
627,2245,2718
628,2161,2676
629,2473,2622
630,1793,2472
631,1970,3144
632,3181,2454
633,3425,2166
634,2925,1884
635,3402,3882
636,2978,2070
637,2687,2790
638,2786,2730
639,2233,2682
640,3296,2082
641,2136,2694
642,2235,3510
643,2783,2022
644,2585,2598
645,3148,3300
646,2439,3480
647,3290,2016
648,2002,2634
649,2597,2202
650,2529,2658
651,2924,2940
652,2481,3108
653,2360,2970
654,3636,2196
655,2597,2742
656,4359,2298
657,3196,2730
658,2012,2226
659,2098,2754
660,1669,3066
661,2898,2268
662,2235,1932
663,2553,2058
664,2712,3810
665,3076,2100
666,2558,2238
667,2953,2298
668,2318,2628
669,2479,2112
670,1909,2052
671,2801,3258
672,2691,2898
673,2655,2844
674,2847,2862
675,3281,2298
676,1808,2448
677,2053,3252
678,2430,2232
679,2532,1950
680,2335,2298
681,3032,2430
682,2046,2664
683,2605,3414
684,2045,3498
685,2705,2964
686,3696,2286
687,2623,3456
688,2639,2304
689,3066,2322
690,3971,2070
691,2595,2520
692,1932,2748
693,2592,2298
694,2543,2370
695,2389,2598
696,4571,2538
697,2380,3942
698,2358,2382
699,2358,2754
700,2778,2634
701,2222,2256
702,2389,3960
703,2593,2268
704,3760,2274
705,2547,2676
706,2358,2838
707,2396,2046
708,2798,2022
709,3264,2490
710,2757,3150
711,2004,2022
712,2076,2568
713,2669,2274
714,2011,2142
715,2513,2658
716,3281,2526
717,2562,3024
718,3238,2328
719,2091,2256
720,2766,3570
721,2252,2718
722,2032,2754
723,3255,2574
724,2883,2898
725,2328,2574
726,2536,2178
727,3045,2172
728,2703,2172
729,2310,2760
730,3225,2310
731,2639,2592
732,2687,1812
733,3176,2010
734,2575,2166
735,2392,2898
736,2065,2274
737,3004,3726
738,2236,2628
739,1952,2274
740,2595,2544
741,3350,2826
742,1937,2496
743,2832,2628
744,2851,1890
745,2323,2658
746,2980,2616
747,3716,1998
748,2562,2256
749,2897,1920
750,1980,2832
751,2169,2256
752,4028,2466
753,3370,2496
754,3729,1866
755,3058,2346
756,2100,3594
757,3224,2712
758,3845,2508
759,2474,2382
760,3055,2454
761,3184,2322
762,2227,2550
763,1967,2160
764,2615,2358
765,3363,1662
766,2192,3018
767,2831,2886
768,2624,2514
769,2389,2028
770,2774,2520
771,3029,2124
772,2464,1800
773,3578,2508
774,1887,2322
775,2317,2136
776,3020,2826
777,2562,3702
778,3720,1926
779,2958,2058
780,2962,2886
781,2411,2094
782,2112,2604
783,2922,2634
784,2308,3006
785,2741,3618
786,3052,2538
787,4185,2682
788,2549,2148
789,3739,2364
790,3373,2790
791,3181,2160
792,3728,2364
793,2890,2712
794,2491,1938
795,3211,2484
796,2388,4836
797,2581,2328
798,2257,2844
799,2166,1998
800,2056,1866
801,3093,2346
802,2584,2730
803,2548,2220
804,2763,4500
805,1819,3456
806,2299,2238
807,3349,2172
808,2453,2502
809,2906,3354
810,2912,2700
811,3326,2424
812,2068,2628
813,2856,3018
814,2934,2634
815,2558,2274
816,2661,1956
817,1903,2448
818,2106,2358
819,2909,1986
820,2394,2466
821,2802,2328
822,3023,2340
823,2961,2202
824,2204,2796
825,2588,3396
826,2766,2046
827,2664,3150
828,2848,2028
829,2776,2550
830,2149,2808
831,2303,3000
832,2348,2154
833,2467,2352
834,2485,2358
835,1996,2394
836,3005,2166
837,2681,2076
838,1871,2466
839,2219,2574
840,2099,2466
841,1954,2010
842,3402,2400
843,2731,3192
844,2424,2586
845,2666,2088
846,2171,2412
847,2547,2184
848,2711,1962
849,3489,2646
850,2384,2928
851,2783,2682
852,3019,2568
853,2455,2784
854,3255,3570
855,3584,2130
856,2824,2028
857,2111,2484
858,2716,3756
859,2090,3102
860,1974,2442
861,2821,2238
862,1967,2832
863,2039,2958
864,2004,5040
865,2533,4224
866,2027,2280
867,2851,2952
868,2252,2424
869,2432,2118
870,3007,2766
871,2271,2064
872,3365,2784
873,2679,2508
874,3130,2346
875,2147,2904
876,2240,2124
877,2069,2220
878,2278,3336
879,2489,2418
880,2165,2496
881,3904,2496
882,2088,1860
883,2418,2868
884,2961,2304
885,2417,2436
886,2604,2598
887,2430,2076
888,3402,2298
889,2513,2562
890,2337,2454
891,3238,3084
892,3108,2076
893,2527,2748
894,2180,2718
895,2564,2616
896,2731,2562
897,2503,2550
898,2314,2424
899,2781,2490
900,2220,2226
901,3000,2178
902,3182,2142
903,2333,1680
904,2732,2070
905,1972,3540
906,2607,3162
907,3338,2436
908,2171,2472
909,2381,2220
910,2722,2106
911,3401,1740
912,3500,2154
913,2370,2400
914,2255,3042
915,2785,1812
916,2972,2334
917,2901,2802
918,2165,3654
919,2549,3222
920,2579,2472
921,2542,1884
922,2908,2784
923,2079,2088
924,2456,2808
925,3439,2682
926,2586,1812
927,2571,2352
928,2896,3348
929,2105,2670
930,1870,2316
931,2788,2496
932,2293,3012
933,2793,2190
934,2251,2340
935,2336,2976
936,2700,2988
937,2093,2550
938,2438,2310
939,2210,2988
940,1928,2778
941,3144,2772
942,1801,2688
943,2445,2220
944,2521,2106
945,2796,3708
946,2145,3732
947,2330,2586
948,2703,2790
949,2256,1962
950,2484,2616
951,3212,2724
952,3015,2130
953,2582,3042
954,2559,2250
955,2348,3318
956,2565,1902
957,3361,2070
958,2887,2406
959,3154,3618
960,2050,2976
961,2796,2730
962,2388,2862
963,1949,3156
964,2863,2196
965,3127,2592
966,2237,3042
967,2771,2784
968,2711,2502
969,2871,2724
970,2821,2166
971,2061,2292
972,2248,2622
973,2606,2040
974,2182,3102
975,3938,2778
976,2841,2334
977,2279,2766
978,3371,2478
979,3587,2226
980,2283,2412
981,3801,2694
982,2605,2754
983,2771,3918
984,2441,2406
985,1879,3150
986,2650,1878
987,4014,3114
988,2316,2454
989,2733,2238
990,2642,2028
991,2301,2100
992,2875,2268
993,2403,2268
994,2169,2466
995,1960,1836
996,3353,4080
997,3424,2826
998,2550,1980
999,3385,2268
1000,2197,3468
1001,2582,3198
1002,3687,2358
1003,3821,3348
1004,2721,2610
1005,2245,2304
1006,1920,2658
1007,2367,2286
1008,4623,2166
1009,2279,2436
1010,1992,2550
1011,2740,2724
1012,2467,2214
1013,2505,2394
1014,2922,2442
1015,2631,2970
1016,2613,2436
1017,2761,2070
1018,2779,2388
1019,4692,2946
1020,2348,2760
1021,3175,2136
1022,2613,2706
1023,2856,2574
1024,2941,2598
1025,3291,2442
1026,2124,2244
1027,2817,2262
1028,2255,2688
1029,3517,2214
1030,2086,3792
1031,3443,2106
1032,3189,2346
1033,3104,3498
1034,3003,2118
1035,2921,2454
1036,2372,3156
1037,2415,2538
1038,2168,3216
1039,2689,3102
1040,2289,4422
1041,2499,2322
1042,2270,2082
1043,2574,2862
1044,3014,2508
1045,2837,2712
1046,2750,2364
1047,2371,2328
1048,2584,1746
1049,2222,2718
1050,3221,2154
1051,2802,2694
1052,2377,2304
1053,3192,2892
1054,3152,2958
1055,2073,3120
1056,2392,2178
1057,2480,2154
1058,2034,2010
1059,2686,2424
1060,2036,2538
1061,2959,1740
1062,2686,3084
1063,1920,2634
1064,2473,2130
1065,2224,2016
1066,2269,3108
1067,2652,2352
1068,2560,2904
1069,3556,3942
1070,2351,2406
1071,2547,3114
1072,2941,2196
1073,2278,2796
1074,4062,2760
1075,2669,2868
1076,2244,1956
1077,2340,2514
1078,2257,2070
1079,3099,2136
1080,2851,1800
1081,2729,3156
1082,2703,3720
1083,3151,3720
1084,2644,2712
1085,2301,2436
1086,2164,3960
1087,2443,2700
1088,2861,2574
1089,3530,2442
1090,2146,2982
1091,2568,2898
1092,2434,2370
1093,2701,2976
1094,2957,2682
1095,2370,2718
1096,2142,2460
1097,1979,3606
1098,2437,1884
1099,4242,3450
1100,2385,2130
1101,3305,3300
1102,3030,1902
1103,2695,3000
1104,2686,2406
1105,2665,3714
1106,2406,2418
1107,2803,2478
1108,1981,2220
1109,1839,3150
1110,2058,1902
1111,3162,3192
1112,2714,2292
1113,4180,2118
1114,2932,2868
1115,2036,2568
1116,2902,3072
1117,2152,1872
1118,2557,2208
1119,2331,1920
1120,3669,3390
1121,3065,2256
1122,2784,3120
1123,3570,2256
1124,3734,2892
1125,2239,2004
1126,2507,2208
1127,3645,2904
1128,2013,3042
1129,2804,3420
1130,2196,1860
1131,2443,4890
1132,2627,2508
1133,2172,2718
1134,2125,3456
1135,1991,1932
1136,2026,2922
1137,2846,3114
1138,3375,2298
1139,3375,2574
1140,2699,3036
1141,2828,2088
1142,2553,3600
1143,2786,3618
1144,4699,2598
1145,2102,2214
1146,2732,2640
1147,1888,2904
1148,4212,2772
1149,2546,2472
1150,2773,2898
1151,2322,3120
1152,3422,2472
1153,2620,2454
1154,1911,1896
1155,1880,2712
1156,2361,2364
1157,3104,2610
1158,2017,2568
1159,2452,2610
1160,3031,3180
1161,3498,2574
1162,2043,2316
1163,2999,2682
1164,2417,2082
1165,2475,2184
1166,2193,2556
1167,2264,2544
1168,2122,2658
1169,2284,1692
1170,2413,2124
1171,2131,3648
1172,2737,2340
1173,3680,2418
1174,3177,2754
1175,2881,5046
1176,2342,3150
1177,2692,3654
1178,2497,3294
1179,3797,2316
1180,3914,2910
1181,2502,2268
1182,3163,2148
1183,2647,2586
1184,2600,2226
1185,2795,2550
1186,2637,2790
1187,2332,3240
1188,2142,2076
1189,2382,2610
1190,2336,2514
1191,2095,3774
1192,3588,2208
1193,2893,3078
1194,2547,2214
1195,2380,3024
1196,2523,2742
1197,2464,2616
1198,3450,2436
1199,2248,1722
1200,2739,3432
1201,3583,3036
1202,2696,2508
1203,2839,2616
1204,2895,2334
1205,3258,2034
1206,1980,2970
1207,3182,2130
1208,2369,2724
1209,2154,2310
1210,2122,2478
1211,2528,3516
1212,3206,2382
1213,2797,3882
1214,2776,3078
1215,2101,2172
1216,2523,3072
1217,2935,2496
1218,2175,2190
1219,2304,1980
1220,1780,2292
1221,2363,2304
1222,3069,3738
1223,3757,2382
1224,2650,3000
1225,2772,3324
1226,2286,3666
1227,2494,3522
1228,3718,2298
1229,2813,1968
1230,3314,2586
1231,2830,1932
1232,2757,2286
1233,5208,2064
1234,3153,2772
1235,3384,3306
1236,2283,2526
1237,2918,3270
1238,2595,2742
1239,3179,2544
1240,2832,2136
1241,2373,2856
1242,2284,2442
1243,2044,2058
1244,2959,2874
1245,2307,2088
1246,2590,2484
1247,1972,2244
1248,2371,2844
1249,2998,2904
1250,3115,2454
1251,2588,2382
1252,2895,3234
1253,2286,1908
1254,1911,2838
1255,2273,3732
1256,2488,2292
1257,2706,3504
1258,1981,3306
1259,1511,2580
1260,2256,3120
1261,1670,2466
1262,2371,2730
1263,2500,3378
1264,2290,2298
1265,2666,2052
1266,3117,2922
1267,2361,2346
1268,3217,2706
1269,2569,3234
1270,3366,3156
1271,2104,2034
1272,1986,2232
1273,2252,3372
1274,2849,1884
1275,2189,3438
1276,2292,2670
1277,2233,2742
1278,2507,2526
1279,2983,2892
1280,4011,2724
1281,3244,2886
1282,2443,2604
1283,2250,1800
1284,1989,3378
1285,2784,2148
1286,1968,1992
1287,2496,2454
1288,2473,1884
1289,2408,2280
1290,2900,1986
1291,2782,2118
1292,5046,2376
1293,2993,2310
1294,2361,2544
1295,2288,2814
1296,1972,2346
1297,2148,1920
1298,2037,2916
1299,4035,2172
1300,3639,2328
1301,2721,2658
1302,2589,2196
1303,2036,1950
1304,3222,2208
1305,2632,3204
1306,3009,2358
1307,2059,2646
1308,2308,3624
1309,2680,2178
1310,2775,2280
1311,2740,2472
1312,2296,2868
1313,2809,3474
1314,2077,2376
1315,2507,1842
1316,2238,2910
1317,3360,2448
1318,1856,3000
1319,2454,2748
1320,3211,2628
1321,2114,2382
1322,2499,3036
1323,2756,2076
1324,2362,3612
1325,2751,2664
1326,1948,3072
1327,2192,3114
1328,2774,2388
1329,2454,2052
1330,3632,2496
1331,2325,2406
1332,2256,2520
1333,2716,3006
1334,2464,2382
1335,2281,2166
1336,2525,2658
1337,2371,2334
1338,2929,2148
1339,2942,2934
1340,2009,2496
1341,2603,3246
1342,2260,2790
1343,2133,2010
1344,2572,2628
1345,2478,3846
1346,2335,2568
1347,1945,2766
1348,2677,2124
1349,2538,3168
1350,2377,2676
1351,3110,2100
1352,3085,2724
1353,4531,3024
1354,2126,2934
1355,2315,3870
1356,2637,2694
1357,2381,2364
1358,2421,1998
1359,2803,3792
1360,2185,3462
1361,2376,3642
1362,2195,2460
1363,2195,2928
1364,2218,2142
1365,3608,1974
1366,3352,2496
1367,2465,2298
1368,2820,2250
1369,3040,2514
1370,2060,2154
1371,2065,2640
1372,2519,2490
1373,2115,2100
1374,3292,2364
1375,1936,2568
1376,3286,2598
1377,1942,3498
1378,2477,2454
1379,2213,2916
1380,2691,2502
1381,2323,2718
1382,2605,2604
1383,2387,2790
1384,2832,2310
1385,2362,3360
1386,3019,3486
1387,3859,2250
1388,2702,3420
1389,2664,2994
1390,3712,3138
1391,2588,3318
1392,2605,2598
1393,2375,2028
1394,4997,2262
1395,2207,2514
1396,2494,2442
1397,2845,2262
1398,2217,3126
1399,2760,1908
1400,2603,2028
1401,3153,2364
1402,1880,2424
1403,2309,2184
1404,2045,2700
1405,3104,2418
1406,2300,2244
1407,2918,2160
1408,3835,2520
1409,2168,2730
1410,2395,3504
1411,2863,2196
1412,3411,2772
1413,2094,2340
1414,3856,3192
1415,2853,2280
1416,2953,2628
1417,2551,2670
1418,2294,2844
1419,2275,2448
1420,2454,2634
1421,3169,3606
1422,2496,2658
1423,2361,2340
1424,2344,2604
1425,2238,2004
1426,2817,2652
1427,1903,3450
1428,1862,1770
1429,2942,2850
1430,2329,2370
1431,1824,2310
1432,2465,2790
1433,2352,2142
1434,2983,2124
1435,3133,3030
1436,2365,5010
1437,2779,2358
1438,2367,2658
1439,4062,2466
1440,2233,2118
1441,2311,2958
1442,1863,2058
1443,2164,2742
1444,4104,2988
1445,2650,3258
1446,2088,2586
1447,2816,3174
1448,2404,2520
1449,3745,1902
1450,3462,2778
1451,3967,2592
1452,3100,3822
1453,2102,2802
1454,2996,3030
1455,2000,2028
1456,2274,3210
1457,2264,3162
1458,1629,2700
1459,2213,5520
1460,2890,3084
1461,2536,2850
1462,2617,2388
1463,2522,2982
1464,2097,1950
1465,2502,2166
1466,2998,2106
1467,2253,3378
1468,2223,1908
1469,3429,3216
1470,2811,2502
1471,2780,2766
1472,2659,3024
1473,1735,2532
1474,2260,2604
1475,2586,2784
1476,3403,2172
1477,3403,2592
1478,2301,1818
1479,3782,2952
1480,2369,2148
1481,2506,4296
1482,1938,3504
1483,2942,2256
1484,2064,3138
1485,2280,2208
1486,2820,3810
1487,2189,2364
1488,2534,3162
1489,2503,3192
1490,2032,2826
1491,3354,2244
1492,2256,1902
1493,2484,2754
1494,2727,2226
1495,4010,2358
1496,3293,2262
1497,3080,1818
1498,2707,2280
1499,2040,3480
1500,4203,2646
1501,2369,2046
1502,2936,2784
1503,2739,3018
1504,2383,2214
1505,2523,2592
1506,2587,2208
1507,2021,2610
1508,2734,3132
1509,2468,3786
1510,3124,2844
1511,2712,2700
1512,2532,2484
1513,2584,2574
1514,3258,3270
1515,2743,2346
1516,2025,2670
1517,2591,2688
1518,1844,2694
1519,3146,2952
1520,2560,2142
1521,3134,2946
1522,2307,2256
1523,2607,2058
1524,2165,2142
1525,2206,2610
1526,2572,2376
1527,2417,2364
1528,2593,2526
1529,3390,1824
1530,3112,2118
1531,2498,2670
1532,2413,2442
1533,2717,2514
1534,2790,3288
1535,1687,2520
1536,2650,2298
1537,1981,3108
1538,2249,3174
1539,3279,3294
1540,2632,2280
1541,2079,2184
1542,3047,2040
1543,2189,2310
1544,2586,2322
1545,3062,2910
1546,1871,2586
1547,2387,2232
1548,2369,2130
1549,3237,2208
1550,2870,2424
1551,2697,2700
1552,2060,2742
1553,2685,2622
1554,1967,2484
1555,2083,2340
1556,2118,2328
1557,2735,3156
1558,2188,3174
1559,3352,3012
1560,3007,2436
1561,2590,3852
1562,2239,3330
1563,2184,3510
1564,2599,2664
1565,2622,2862
1566,2658,1968
1567,4127,2898
1568,2161,2658
1569,3473,2160
1570,2539,2382
1571,2243,2490
1572,3128,2160
1573,2056,2028
1574,2198,2688
1575,2904,1938
1576,1916,2166
1577,3519,2172
1578,2713,2214
1579,2335,2754
1580,2406,2892
1581,1954,2502
1582,2975,2544
1583,2181,2538
1584,3837,2382
1585,2808,3084
1586,2889,2040
1587,2410,2532
1588,3157,3006
1589,2492,2646
1590,2598,2184
1591,2525,3114
1592,2605,3042
1593,2568,2670
1594,2372,3792
1595,2982,2400
1596,2594,2256
1597,1951,2676
1598,1992,2436
1599,3268,2370
1600,3136,2994
1601,3125,2856
1602,2257,2640
1603,2842,2064
1604,1876,2976
1605,3219,2334
1606,2384,2634
1607,2244,2304
1608,1898,2388
1609,2139,2196
1610,2472,1974
1611,3778,2136
1612,2908,2058
1613,2447,2184
1614,3657,2466
1615,2698,2406
1616,2569,3090
1617,1924,2520
1618,2583,1968
1619,2268,2574
1620,2265,2316
1621,2427,3894
1622,2335,2016
1623,2631,3024
1624,2171,2460
1625,2070,2040
1626,2970,2154
1627,3354,1728
1628,3837,3600
1629,2093,2244
1630,2611,2700
1631,2473,2790
1632,2386,2124
1633,3031,2502
1634,2633,2274
1635,2943,2412
1636,3420,2400
1637,3755,2670
1638,2403,2442
1639,2974,2400
1640,1861,2604
1641,2134,2706
1642,2477,1818
1643,2578,2838
1644,2635,3546
1645,2077,3876
1646,2299,2280
1647,2912,2082
1648,1868,2502
1649,2964,2226
1650,2451,2556
1651,2591,2370
1652,3476,1770
1653,2555,2358
1654,2231,2832
1655,2086,2256
1656,2540,2286
1657,2652,3816
1658,3190,2322
1659,2766,2886
1660,1806,2424
1661,2631,3174
